Time,Charge,Current
0,0,0
0.01,5.83304e-07,0.000174976
0.02,4.66519e-06,0.000699621
0.03,1.57385e-05,0.00157308
0.04,3.72847e-05,0.00279394
0.05,7.27684e-05,0.00436021
0.06,0.000125631,0.00626934
0.07,0.000199287,0.00851822
0.08,0.000297116,0.0111032
0.09,0.000422458,0.0140201
0.1,0.000578608,0.0172641
0.11,0.000768811,0.0208299
0.12,0.000996259,0.0247117
0.13,0.00126408,0.0289032
0.14,0.00157533,0.0333975
0.15,0.00193301,0.0381871
0.16,0.00234003,0.0432644
0.17,0.00279923,0.0486208
0.18,0.00331335,0.0542476
0.19,0.00388505,0.0601355
0.2,0.0045169,0.0662746
0.21,0.00521135,0.072655
0.22,0.00597076,0.0792659
0.23,0.0067974,0.0860963
0.24,0.00769338,0.0931348
0.25,0.00866075,0.10037
0.26,0.00970139,0.107789
0.27,0.0108171,0.115379
0.28,0.0120095,0.123129
0.29,0.0132802,0.131024
0.3,0.0146304,0.139052
0.31,0.0160616,0.147198
0.32,0.0175747,0.155448
0.33,0.0191708,0.163789
0.34,0.0208508,0.172205
0.35,0.0226152,0.180683
0.36,0.0244646,0.189207
0.37,0.0263994,0.197763
0.38,0.0284199,0.206335
0.39,0.0305261,0.214907
0.4,0.032718,0.223465
0.41,0.0349953,0.231994
0.42,0.0373577,0.240476
0.43,0.0398046,0.248898
0.44,0.0423354,0.257244
0.45,0.0449492,0.265497
0.46,0.047645,0.273642
0.47,0.0504216,0.281665
0.48,0.0532778,0.289548
0.49,0.0562121,0.297278
0.5,0.0592228,0.304839
0.51,0.0623082,0.312215
0.52,0.0654665,0.319392
0.53,0.0686954,0.326355
0.54,0.0719928,0.333089
0.55,0.0753564,0.339581
0.56,0.0787835,0.345815
0.57,0.0822717,0.351777
0.58,0.0858181,0.357456
0.59,0.0894199,0.362836
0.6,0.0930738,0.367905
0.61,0.0967769,0.37265
0.62,0.100526,0.377059
0.63,0.104317,0.38112
0.64,0.108147,0.38482
0.65,0.112012,0.38815
0.66,0.115909,0.391099
0.67,0.119833,0.393654
0.68,0.12378,0.395808
0.69,0.127748,0.39755
0.7,0.13173,0.398872
0.71,0.135724,0.399765
0.72,0.139724,0.40022
0.73,0.143726,0.400231
0.74,0.147727,0.39979
0.75,0.151721,0.398892
0.76,0.155703,0.397529
0.77,0.15967,0.395697
0.78,0.163616,0.393392
0.79,0.167536,0.390608
0.8,0.171426,0.387343
0.81,0.175281,0.383593
0.82,0.179096,0.379356
0.83,0.182867,0.37463
0.84,0.186587,0.369414
0.85,0.190253,0.363708
0.86,0.19386,0.357511
0.87,0.197402,0.350824
0.88,0.200875,0.343648
0.89,0.204273,0.335985
0.9,0.207593,0.327839
0.91,0.210828,0.319211
0.92,0.213975,0.310106
0.93,0.217029,0.300528
0.94,0.219984,0.290482
0.95,0.222837,0.279974
0.96,0.225582,0.26901
0.97,0.228216,0.257596
0.98,0.230733,0.245741
0.99,0.233129,0.233452
1,0.2354,0.220738
1.01,0.237543,0.207607
1.02,0.239551,0.194071
1.03,0.241423,0.180138
1.04,0.243153,0.165821
1.05,0.244738,0.151129
1.06,0.246174,0.136076
1.07,0.247458,0.120674
1.08,0.248586,0.104935
1.09,0.249556,0.0888731
1.1,0.250363,0.0725022
1.11,0.251005,0.0558364
1.12,0.251479,0.0388908
1.13,0.251782,0.0216804
1.14,0.251911,0.00422087
1.15,0.251865,-0.0134717
1.16,0.251641,-0.0313809
1.17,0.251237,-0.0494901
1.18,0.250651,-0.067782
1.19,0.249881,-0.0862393
1.2,0.248926,-0.104844
1.21,0.247784,-0.123579
1.22,0.246454,-0.142425
1.23,0.244935,-0.161364
1.24,0.243226,-0.180376
1.25,0.241327,-0.199445
1.26,0.239237,-0.218549
1.27,0.236956,-0.23767
1.28,0.234484,-0.256788
1.29,0.23182,-0.275884
1.3,0.228966,-0.294939
1.31,0.225922,-0.313932
1.32,0.222688,-0.332844
1.33,0.219265,-0.351655
1.34,0.215655,-0.370346
1.35,0.211859,-0.388896
1.36,0.207878,-0.407286
1.37,0.203714,-0.425497
1.38,0.199369,-0.443508
1.39,0.194844,-0.461302
1.4,0.190143,-0.478857
1.41,0.185268,-0.496156
1.42,0.180221,-0.513179
1.43,0.175005,-0.529907
1.44,0.169624,-0.546323
1.45,0.16408,-0.562408
1.46,0.158377,-0.578143
1.47,0.152518,-0.593512
1.48,0.146508,-0.608496
1.49,0.14035,-0.62308
1.5,0.134048,-0.637245
1.51,0.127606,-0.650977
1.52,0.12103,-0.664258
1.53,0.114323,-0.677074
1.54,0.10749,-0.68941
1.55,0.100536,-0.70125
1.56,0.0934666,-0.712581
1.57,0.0862863,-0.723389
1.58,0.0790006,-0.733661
1.59,0.0716149,-0.743385
1.6,0.0641348,-0.752547
1.61,0.0565659,-0.761137
1.62,0.048914,-0.769144
1.63,0.041185,-0.776556
1.64,0.0333849,-0.783365
1.65,0.0255197,-0.789561
1.66,0.0175957,-0.795136
1.67,0.00961911,-0.800081
1.68,0.00159622,-0.804389
1.69,-0.00646653,-0.808053
1.7,-0.0145627,-0.811068
1.71,-0.0226857,-0.813428
1.72,-0.030829,-0.815128
1.73,-0.038986,-0.816163
1.74,-0.0471501,-0.816532
